Review_ID,Review
12,"สถานที่คือ ดีงามมากกกกก

ทั้งได้มาเที่ยว ได้ทานอาหารอร่อยๆ สดๆ ราคากันเอง ในที่เดียว เยินยอมาก เพราะชอบจริง อยากไปอีกเลย


ร้านอาหารกว้างมาก มีสัตว์เลี้ยงเยอะมาก โซนนั่งทานอาหารจะยกสูงขึ้นมา และมองลงไปเป็นลายกว้างดูสัตว์ต่างๆ อยู่ด้วยกันอย่างน่ารักอบอุ่น

ที่สำคัญคือ สะอาดมากๆๆๆๆ

อาหารไม่ด้อยเลยด้วย เด่นเลยแหละ สด และอร่อยทุกอย่าง


สัตว์ต่างๆ มีตั้งแต่ ไก่ซิลกี้ ไก่ง่วง ปลาเยอะมาก เป็ด กระต่าย แพะ หลายสรรพสิ่ง วิ่งเล่นกันน่ารักมาก
เขาทำสถานที่ไว้ดีมากๆ และสะอาดมากๆ ไม่เหม็นเลย


ชอบค่ะ ประทับใจ ไว้ไปอีก

ปล. ยังลงสัตว์เพิ่มได้อีกเยอะเลยนะคะ"
13,"วันนี้วันแม่เลยถือโอกาสพาแม่มาทานร้านอาหารไม่ไกลบ้าน แถมบรรยากาศดีมาก ก่อนไปเราทำการโทรถาม ทางร้านไม่รับจองโต๊ะแต่ทางพนักงานบอกว่ามีโต๊ะแน่นอนค่ะ พอมาถึงก็ได้โต๊ะ บรรยากาศรอบๆดีมากค่ะ มีคาราโอเกะ โซน indoor /outdoor เราว่าโต๊ะตรงไหนก็บรรยากาศดีไปหมดเลยค่ะ เราได้โต๊ะข้างห้องกระจกติดบ่อปลา

อาหารที่สั่ง
แกงส้มไข่ปลา เราว่าพอทานได้ค่ะ รสชาติไม่ได้โดดเด่นถึงขนาดแนะนำให้สั่ง

ทอดมันกุ้ง ชิ้นใหญ่มากค่ะ กุ้งเป็นชิ้นๆค่ะ กรอบ เราแนะนำชอบมาก

หมูแดดเดียว กรอบ อร่อย เค็มพอดีค่ะ แนะนำค่ะ

ส้มตำผลไม้ เปรี้ยวหวาน ผลไม้หลากหลายดีค่ะ

ที่จอดรถของที่นี่มีเยอะมากค่ะ พนักงานต้อนรับดี บริการดี อาหารสั่งไปถึงคนจะเยอะแต่ก็ทำเร็วมากค่ะ มีเกาะน้อยๆที่เลี้ยงกระต่ายด้วย มีบ้านแพะ และไก่ง่วงตัวใหญ่น่ารักมากค่ะ ที่เล่นเด็กเยอะมากค่ะ ใครมีลูกแนะนำให้พาไปน่าจะชอบค่ะ "
14,"ร้านครัวป้าบุญ อยู่ถนนเส้นเดียวกับทางไปสวนเสือ
ด้านหน้าโดดเด่นด้วยสนามเด็กเล่นบรรยากาศดีใช้ได้ เหมาะสำหรับคริบครัวเด็กเล็กๆ ด้านนอกจะมีลานกระต่าย ล้อมด้วยน้ำ ที่นี่เคยเป็นร้านต้นแจงเก่าและถูกปรับปรุงขยายให้มีขนาดใหญ่ขึ้น มีทั้งบริเวณส่วนเอ้าดอร์ และห้องคาราโอเกะ เมนูที่มากินวันนี้คือน้ำพริกไข่ปู ขาหมูทอด ปลาสามรส ต้มแซ่บหมู ไข่ตุ๋นทะเลกุ้ง อบวุ้นเส้น
รสชาติก็ธรรมดา แต่ที่ชอบคือน้ำพริกไข่ปู
ไข่ปูเน้น ๆ รสชาติไม่เผ็ดมาก ขาหมูทอดมีความหอมเครื่องพะโล้เล็กน้อย และมีความกรอบนอกนุ่มใน"
15,"ร้านอาหารอร่อย ขึ้นชื่อเมืองชลบุรี สาขานี้เป็นสาขาที่3 แล้ว
ลูกค้าแน่นตลอด ทางร้านมีห้องคาราโอเกะเหมาะสำหรับมาจัดเลี้ยงหรือนัดพบปะกับเพื่อนๆ
วันนี้ได้แวะมาทานอาหารที่ร้าน นั่งโซนระเบียงใกล้สวนและสระน้ำ บรรยากาศเย็นสบาย โปร่งโล่ง ไม่อึดอัด โต๊ะตัวยาวที่รองรับลูกค้าได้ถึง 10 คน
เมนูอาหารที่สั่งมาทานวันนี้ อร่อยทุกอย่าง
อาหารออกไวมาก ถ่ายรูปบรรยากาศร้านยังไม่ทันเสร็จ
ที่จอดรถว้างขวาง พนักงานบริการดี แนะนำเลยค่ะ "
16,"พอดีมาทานกับเพื่อนๆ ค่ะ แต่รู้สึกว่าเป็นร้านอาหารที่เหมาะกับทุกเพศ ทุกวัยจริงๆ

บรรยากาศร้าน : มีสวนกระต่าย แพะ ไก่ต๊อกให้เด็กๆ ได้ดู มีห้องคาราโอเกะ เหมาะแก่การปล่อยพลังของวัยหนุ่มสาว โต๊ะสำหรับครอบครัว ห้องแอร์สำหรับคู่รัก ได้ทุกเพศทุกวัยจริงๆ

เมนู : ที่เราแนะนำเลยคงจะเป็นยำปลาแซลม่อน และกะหล่ำปลีผัดน้ำปลา ข้าวผัดปูจานใหญ่ก็กินกันได้หลายคนเลยค่ะ "
17,"ร้านอาหารบรรยากาศดี เหมือนอยู่ในทุ่ง มีสัตว์ให้ดูและมีมุมถ่ายรูปมากมาย ไว้ให้ถ่ายรูป ทางร้านจะจัดโชนไว้สำหรับทางอาหารมีทั้งโต๊ะในสวน และห้องสำหรับจัดเลี้ยงร้องราราโอเกะอีกด้วย
สำหะบอาหารที่นี้ รสชาติอร่อย แต่ติดหวานนิดๆ
ภาพรวมๆ ก็โอเค"
18,"บรรยากาศ - ผ่านไปมาแถวนั้นบ่อยมาก แต่ไม่เคยหันไปมองจริงจัง เห็นแค่ว่ามีลานของเล่นด้านหน้า หลงนึกว่าร้านหมูกระทะมาตั้งนาน ร้านบรรยากาศดีมาก กว้างขวาง ถ้ามองจากถนนใหญ่ร้านจะหน้าไม่ค่อยกว้าง แต่มันยาว ลึกเข้าไป เลยมีที่มากพอให้เดินถ่ายรูปชิวๆ หา้องน้ำสะอาดมาก ติดแอร์ มีพนักงานคอยดูแลห้องน้ำให้เลย ห้องร้องเกะใหญ่มาก คราวหลังเดี๋ยวลองชวนที่แผนกไปร้องเกะดู บรรยากาศเหมาะสำหรับงานเลี้ยงที่คนเยอะๆ แบบเลี้ยงแผนก รึรวมเครือญาติ

บริการ พนักงานบางคนดี บางคนหน้าบูดยังกะตูดลิง หน้าไม่พร้อมบริการเอาซะเลย ขออะไรแล้วชักสีหน้า ต้องเทรนใหม่นิดนึง

อาหาร อร่อยทุกอย่าง แนะนำ ลาบแซลม่อน, ยำแซลม่อน, ไข่ตุ๋นหม้อไฟ, ปีกไก่ทอดน้ำปลา ... ที่เฉยๆ ก็ต้มยำน้ำข้น

ราคา ไม่แน่ใจว่าแพงไหมนะ 55 นายเลี้ยง เลยไม่ได้ดูบิล

ร้านโอเคเลย แนะนำให้ไป "
19,"ตอนขับรถเข้ามา กังวลเล็กน้อยว่ามีโต๊ะมั้ย อาหารจะช้ารึป่าว คนเยอะมากกกก ส่วนใหญ่เป็นโต๊ะใหญ่ๆ มีห้องร้องเกะ คนเพียบ โชคดีที่มีห้องแอร์ห้องใหญ่ออกพอดี ได้โต๊ะในห้องแอร์ มีบริกรกำลังเก็บโต๊ะอยู่ สั่งอาหารได้ทันควัน อาหารรอได้ไวดี

อาหารรสชาติกลางๆ ไม่เผ็ดมาก ให้มาอีกก็มาได้เรื่อยๆ ที่อร่อยยกให้ หมูตุ๋นหม้อไฟ ความเปื่อยจัดว่าทำได้ดี

เรื่องบรรยากาศไม่ต้องพูดถึง มีโซนน้ำ โซนหญ้า มองไปจะเห็นกระต่ายวิ่งไปวิ่งมา มีของเล่นให้เด็กเล่น ใครพาลูกมาก็นั่งเม้ากันยาวๆๆๆ ไปได้เลย

มาลองได้นะ "
20,ร้านนี้น่าจะไปเอาดีด้านจัดสวน และเปิดเครื่องเล่นเพราะทำดีมาก ส่วนอาหาร เราผิดเองเราคาดหวังมากไป ราคาสูง หอยนางรมกะทะร้อน มาแบบเย็นๆ ไปหลงที่ไหนมา มีหอยอยู่สี่ตัวเล็กๆได้ กำ.. เชื่อไหม ตอนไปโต๊ะเต็มทุกโต๊ะ แย่งโต๊ะเป็นเก้าอี้ดนตรีเลย เราเลยได้การบริการแบบขาดๆมา สั่งอาหารไปได้ไม่ครบ รอกว่าชั่วโมงและมาบอกว่าไม่มี และได้อาหารแบบเย็นๆมาทั้งสองอย่าง สั่งไปสี่จาน ได้มาสองจาน และก็ได้อาหารแบบนั้นมา เราจึงมาเตือนคุณ หวังว่าเค้าจะดีขึ้นอีกไม่นาน เพราะสวนเค้าสวยมาก ดีอ่ะ คนจัดสวนได้ขนาดนี้และนึกถึงลูกค้าขนาดนี้ไม่ธรรมดา ต้องมีอะไรผิดพลาดแน่ๆ คร้า
21,"ต้องบอกว่าดีใจมากที่ได้มากินร้านป้าบุญสาขา3 เพราะว่าละแวกศรีราชาร้านอาหารที่จะนำทั้งสวนสัตว์และสนามเด็กเล่นมาไว้ด้วยกันนั้นหายากมาก และร้านนี้บอกเลยว่าดีงาม นั่งทานอาหารไป เด็กๆก็เล่นสนามเด็กเล่นไป ใครไม่ชอบเล่นก็สามารถมาดูกระต่าย แพะ แกะ นก เป็ด ได้ตามอัธยาศัย เพาะที่นี่สัตว์เยอะมาก เหมาะกับครอบครัวที่สนใจพาเด็กๆมาสูดอากาศธรรมชาติ
อีกทั้งอาหารอร่อยด้วยคะ พนักงานบริการดีมาก เมื่อเทียบกับจำนวนลูกค้าที่มากันเยอะแยะหนาตา แต่ก็ไม่มีใครบ่น เพราะช่วงรออาหารเราก็มาเล่นสนามเด็กเล่น ถ่ายรูปกับสัตว์ ถ่ายรูปกับบรรยากาศรอบๆไปโดยไม่เหงากันเลยทีเดียว
พิกัด ถนนอัสสัมชัญ ติดธนาคารกรุงเทพ ป้ายใหญ่โตมองเห็นง่ายคะ "
22,อาหารรสชาติกลางๆ ไม่ได้ว้าว แต่กินได้ อร่อยเป็นบางอย่าง แต่ที่ว้าวเลยคือบรรยากาศดี ใหญ่มาก และมีกระต่าย นก ไก่ ที่นี้มีห้องคาราโอเกะด้วย เป็นส่วนตัวมากๆ มีโต๊ะนั่งเยอะมากมีหลายโซน มีบ่อน้ำด้วย เหมาะแก่การมานั่งพูดคุย ถ่ายรูป 
23,เป็นร้านอาหารที่กว้างขวาง ที่จอดรถเยอะ เมนูอาหารเยอะ อาหารมาเร็วถึงแม้จะคนเยอะ มีสนามเด็กเล่น มีสัตว์ให้เด็กเด็กดู มีห้องคาราโอเกะไว้ให้กลุ่มคนทำงานได้สังสรรค์ มีมุมสวนสวยให้ถ่ายรูป เรียกว่าตอบสนองความต้องกลุ่มของทุกกลุ่มคน 
24,"ร้านอาหารสำหรับครอบครัว , จัดเลี้ยง , สังสรรค์ที่แท้จริง ก่อนอื่นบอกเลยว่าร้านนี้มีอาหารหลากหลาย โซนนั่งทานหลายมุม ที่จอดรถเยอะ มีเด็กคอยโบกให้ ราคาอาหารน่ารักไม่แรงเลย ที่สำคัญ มีกระต่ายกับไก่อะไรสักอย่างวิ่งเล่นน่ารักมากๆ งูยยย ปกติจะเป็นคนไม่ค่อยเข้าร้านใหญ่ๆแบบนี้เพราะกลัวเรื่องราคา แต่ไม่เป็นอย่างงั้นเลย ราคาน่ารักถูกกว่าร้านที่เคยไปหลายๆที่ ยังไงอย่าลืมแวะมานะคะ รสชาติสำหรับหมิว ดีเลย "
25,"ไปทานมาเย็นวันธรรมดา โต๊ะไม่เต็ม เพราะมีเด็กเล็กไปด้วยจึงได้โต๊ะในห้องแอร์ด้านหน้าใกล้ๆ กับสนามเด็กเล่น รออาหารไม่นาน อาหารที่สั่งอร่อยดี รสชาติกลางๆ
บรรกาศที่ร้านดีมาก จัดร้านสวยงาม มีมุมให้ถ่ายรูปเยอะ มีสนามเด็กๆ ให้เด็กๆ เล่นด้วย ลูกชายไม่ยอมกลับบ้านเลยทีเดียว 555
ที่ชอบอีกอย่างคือห้องน้ำสะอาดมาก มีพนักงานคอยเปิดประตูให้ด้วย "
26,"ร้านครัวป้าบุญ สาขา 3 ร้านใหญ่มาก
เดินทางมาไม่ยาก ใกล้ J-park ศรีราชา
ที่จอดรถเยอะ สะดวกสบาย บรรยากาศดี เดินเล่น ชมสัตว์มากมาย เด็กๆน่าจะชอบ

อาหารมาตรฐานทั่วไป รสชาติปานกลาง
ที่นี่ดังเรื่องห้องคาราโอเกะ มีเยอะมาก และใหม่
เพลงใหม่มากกกกกก เหมาะกับคนชอบร้องเพลง จัดงานสังสรรค์ได้เลย "
27,ร้านป้าบุญ สาขา3 จะอยู่เยื้องๆกับ j-park มาทุกครั้งก็ไม่เคยทำให้ผิดหวังกันเลยทีเดียว วันนี้มากับครอบครัว เด็กๆสามารถวิ่งเล่น กับเล่นเครื่องเล่น เพลินกันไปเลย ไม่รอช้าเลือกที่นั่งได้เลย เพราะมีหลายโซนมาก ทั้งห้องแอร์ outdoor หรือห้องคาราโอเกะ ตามสะดวก สำหรับเมนูวันนี้เราสั่งเป็น เนื้อปูผัดผงกะหรี่ เข้มข้นมากกก เนื้อปูจัดเต็ม และปลาเห็ดโคนทอดกระเทียม ที่ทอดมาได้กรอบมาก พร้อมกระเทียมโรยมาให้ ฟินไปอีกกก อีกจานเป็นช้าวผัดปู อร่อยถูกปากเช่นเคย และตบท้ายด้วยน้ำแตงโมปั่น หวานสดชื่น สมกับที่มาเยือนทุกครั้ง รับรองไม่ผิดหวัง พนักงานบริการดีที่จอดรถกว้างขวาง 
28,ขับรถผ่านเส้นสวนเสือศรีราชา สะดุดตากับร้านนี้ร้านใหญ่กว้างขวางมาก บรรยากาศดีมีโซนเครื่องเล่นให้เด็กๆวิ่งเล่น โซนโต๊ะอาหารก็จัดได้ดีมากค่ะ เมนูวันนี้ ยำเซี่ยงไฮ้กุ้งหมึก ต้มยำเนื้อปลาเก๋า หมึกแดดเดียว หอยนางรมทรงเครื่อง บอกเลยว่าอร่อยทุกอย่าง อาหารออกเร็วมากสั่งหลายอย่างรอแปบเดียว ราคาไม่แพงค่ะ 
29,ของเล่นเยอะสวยมากกว้างขวางเด็กๆชอบ พามากินข้าวร้องเกะเหมือนมาสวนสนุกวิ่งเล่นแล้วหิวก็กลับมากินได้อีกของเล่นเยอะดีสถานที่สะอาดสะอ้าน พาลูกๆมาพักผ่อน เป็นตัวเลือกที่ดีที่อยู่ไม่ไกลบ้านแล้วก็อาหารก็ใช้ได้อาจจะออกช้าไปนิดนึง เขาว่าวันที่มาคนเยอะ
30,อาหารอร่อยและมีคุณภาพ มีเมนูหลากหลายให้เลือกในเรทราคาที่ไม่แพงเกินไป แต่การบริการของพนักงานแย่มากค่ะ หรือเราอาจจะเจอพนักงานที่ไม่ดีเองก็ไม่รู้ แต่เรามา 4 ครั้งก็เป็นเหมือนกันทุกครั้ง ให้เราหาเองทุกอย่างเลย โต๊ะเต็มก็น่าจะแจ้งว่าเราควรรอรึเปล่า มีกี่คิว หรือว่ามีโต๊ะไหนใกล้เช็คบิล หรือเราไม่ควรรอแล้ว เราจะสั่งน้ำเพิ่มก็ต้องสั่ง 4-5 รอบกว่าจะได้ อาหารอร่อยแต่ถ้าการบริการเหมือนบริการแบบส่งๆเรากับทางครอบครัวก็ค่อนข้างเสียอารมณ์ เสียความรู้สึกในระดับนึง อยากให้ทางร้านปรับปรุงเรื่องนี้สักนิดนึงนะคะ 
